icao,iata,name,shortname,prefix,parking
A124,A4F,Antonov An-124 Ruslan,AN-124,H,heavy
A140,A40,Antonov An-140,AN-140,,small
A148,,Antonov AN-148,AN-148,,small
A158,A58,Antonov An-158,AN-158,,small
A225,A25,Antonov An-225 Mriya,AN-225,H,heavy
A306,ABY,Airbus A300-600,A300-600,H,heavy
A30B,AB3,Airbus A300,A300,H,heavy
A310,310,Airbus A310,A310,,medium
A318,318,Airbus A318,A318,,medium
A319,319,Airbus A319,A319,,medium
A320,320,Airbus A320,A320,,medium
A321,321,Airbus A321,A321,,medium
A330,330,Airbus A330,A330,H,heavy
A332,332,Airbus A330-200,A330-200,H,heavy
A333,333,Airbus A330-300,A330-300,H,heavy
A338,338,Airbus A330-800,A330-800,H,heavy
A339,339,Airbus A330-900,A330-900,H,heavy
A340,340,Airbus A340,A340,H,heavy
A342,342,Airbus A340-200,A340-200,H,heavy
A343,343,Airbus A340-300,A340-300,H,heavy
A345,345,Airbus A340-500,A340-500,H,heavy
A346,346,Airbus A340-600,A340-600,H,heavy
A350,350,Airbus A350,A350,H,heavy
A358,358,Airbus A350-800,A350-800,H,heavy
A359,359,Airbus A350-900,A350-900,H,heavy
A35K,351,Airbus A350-1000,A350-1000,H,heavy
A388,388,Airbus A380-800,A380-800,H,heavy
A3ST,ABB,Airbus A300-600ST Beluga Freighter,A300-600ST,H,heavy
A748,HS7,Hawker Siddeley HS 748,HS-748,,small
AC68,ACP,Gulfstream/Rockwell (Aero) Commander,AC68,,small
AC90,ACT,Gulfstream/Rockwell (Aero) Turbo Commander,AC90,,small
AN12,ANF,Antonov AN-12,AN-124,H,heavy
AN24,AN4,Antonov AN-24,AN-24,,small
AN26,A26,Antonov AN-26,AN-26,,small
AN28,A28,Antonov AN-28,AN-28,,small
AN30,A30,Antonov AN-30,AN-30,,small
AN32,A32,Antonov AN-32,AN-32,,small
AN72,AN7,Antonov AN-72,AN-72,,small
AN72,AN7,Antonov AN-74,AN-74,,small
AT43,AT4,Aerospatiale/Alenia ATR 42-300,ATR-42-300,,small
AT43,AT4,Aerospatiale/Alenia ATR 42-320,ATR-42-320,,small
AT45,AT5,Aerospatiale/Alenia ATR 42-500,ATR-42-500,,small
AT46,ATR,Aerospatiale/Alenia ATR 42-600,ATR-42-600,,small
AT72,AT7,Aerospatiale/Alenia ATR 72,ATR-72,,small
AT73,ATR,Aerospatiale/Alenia ATR 72-200 series,ATR-72-200,,small
AT75,ATR,Aerospatiale/Alenia ATR 72-500,ATR-72-500,,small
AT76,ATR,Aerospatiale/Alenia ATR 72-600,ATR-72-600,,small
ATP,ATP,British Aerospace ATP,BA-ATP,,small
B190,BEH,Beechcraft 1900,B1900,,small
B461,141,BAe 146-100,BAE-146-100,,small
B462,142,BAe 146-200,BAE-146-200,,small
B463,143,BAe 146-300,BAE-146-300,,small
B703,703,Boeing 707,707,,medium
B712,717,Boeing 717,717,,medium
B720,B72,Boeing 720B,720B,,medium
B721,721,Boeing 727-100,727-100,,medium
B722,722,Boeing 727-200,727-200,,medium
B731,731,Boeing 737-100,737-100,,medium
B732,732,Boeing 737-200,737-200,,medium
B733,733,Boeing 737-300,737-300,,medium
B734,734,Boeing 737-400,737-400,,medium
B735,735,Boeing 737-500,737-500,,medium
B736,736,Boeing 737-600,737-600,,medium
B737,737,Boeing 737-700,737-700,,medium
B738,738,Boeing 737-800,737-800,,medium
B739,739,Boeing 737-900,737-900,,medium
B741,741,Boeing 747-100,747-100,H,heavy
B742,742,Boeing 747-200,747-200,H,heavy
B743,743,Boeing 747-300,747-300,H,heavy
B744,744,Boeing 747-400,747-400,H,heavy
B748,748,Boeing 747-8,747-8,H,heavy
B74R,74R,Boeing 747SR,747SR,H,heavy
B74S,74L,Boeing 747SP,747SP,H,heavy
B752,752,Boeing 757-200,757-200,,medium
B753,753,Boeing 757-300,757-300,,medium
B762,762,Boeing 767-200,767-200,H,heavy
B763,763,Boeing 767-300,767-300,H,heavy
B764,764,Boeing 767-400,767-400,H,heavy
B772,772,Boeing 777-200,777-200,H,heavy
B772,772,Boeing 777-200ER,777-200ER,H,heavy
