"id","ident","type","name","latitude_deg","longitude_deg","elevation_ft","continent","iso_country","iso_region","municipality","scheduled_service","gps_code","iata_code","local_code","home_link","wikipedia_link","keywords"
6523,"00A","heliport","Total Rf Heliport",40.07080078125,-74.93360137939453,11,"NA","US","US-PA","Bensalem","no","00A",,"00A",,,
323361,"00AA","small_airport","Aero B Ranch Airport",38.704022,-101.473911,3435,"NA","US","US-KS","Leoti","no","00AA",,"00AA",,,
6524,"00AK","small_airport","Lowell Field",59.94919968,-151.695999146,450,"NA","US","US-AK","Anchor Point","no","00AK",,"00AK",,,
6525,"00AL","small_airport","Epps Airpark",34.86479949951172,-86.77030181884766,820,"NA","US","US-AL","Harvest","no","00AL",,"00AL",,,
6526,"00AR","closed","Newport Hospital & Clinic Heliport",35.6087,-91.254898,237,"NA","US","US-AR","Newport","no",,,,,,"00AR"
3930,"KTUL","large_airport","Tulsa International Airport",36.19839859008789,-95.88809967041016,677,"NA","US","US-OK","Tulsa","yes","KTUL","TUL","TUL",,"http://en.wikipedia.org/wiki/Tulsa_International_Airport",
3604,"KIAH","large_airport","George Bush Intercontinental Houston Airport",29.984399795532227,-95.34140014648438,97,"NA","US","US-TX","Houston","yes","KIAH","IAH","IAH","http://www.fly2houston.com/iah","http://en.wikipedia.org/wiki/George_Bush_Intercontinental_Airport","QHO"
3588,"KHOU","large_airport","William P Hobby Airport",29.64539909,-95.27890015,46,"NA","US","US-TX","Houston","yes","KHOU","HOU","HOU","http://www.fly2houston.com/hobbyHome","http://en.wikipedia.org/wiki/William_P._Hobby_Airport","QHO"
3588,"KHOU","large_airport","William P Hobby Airport",29.64539909,-95.27890015,46,"NA","US","US-TX","Houston","yes","KHOU","HOU","HOU","http://www.fly2houston.com/hobbyHome","http://en.wikipedia.org/wiki/William_P._Hobby_Airport","QHO"
3588,,"large_airport","William P Hobby Airport",29.64539909,-95.27890015,46,"NA","US","US-TX","Houston","yes","KHOU","HOU","HOU","http://www.fly2houston.com/hobbyHome","http://en.wikipedia.org/wiki/William_P._Hobby_Airport","QHO"
