"id","code","local_code","name","continent","iso_country","wikipedia_link","keywords"
302811,"AD-02",02,"Canillo","EU","AD","http://en.wikipedia.org/wiki/Canillo",
302812,"AD-03",03,"Encamp","EU","AD","http://en.wikipedia.org/wiki/Encamp",
302813,"AD-04",04,"La Massana","EU","AD","http://en.wikipedia.org/wiki/La_Massana",
306112,"US-OK","OK","Oklahoma","NA","US","http://en.wikipedia.org/wiki/Oklahoma",
306113,"US-OR","OR","Oregon","NA","US","http://en.wikipedia.org/wiki/Oregon",
306114,"US-PA","PA","Pennsylvania","NA","US","http://en.wikipedia.org/wiki/Pennsylvania",
306115,"US-RI","RI","Rhode Island","NA","US","http://en.wikipedia.org/wiki/Rhode_Island",
306116,"US-SC","SC","South Carolina","NA","US","http://en.wikipedia.org/wiki/South_Carolina",
306117,"US-SD","SD","South Dakota","NA","US","http://en.wikipedia.org/wiki/South_Dakota",
306118,"US-TN","TN","Tennessee","NA","US","http://en.wikipedia.org/wiki/Tennessee",
306119,"US-TX","TX","Texas","NA","US","http://en.wikipedia.org/wiki/Texas",
306119,"US-TX","TX","Texas","NA","US","http://en.wikipedia.org/wiki/Texas",
306119,"US-TX","TX","Texas","NA","US","http://en.wikipedia.org/wiki/Texas",
0,"","","","","","",
